# Case_ID,eta_w_wake_efficiency,eta_nl_nonlocal_efficiency,Pi_T_turbinescale_loss_factor,Pi_F_farmscale_loss_factor,Pi_F_predicted_analytical_prediction_of_farmscale_loss_factor,k_wake_expansion_coefficient,C_T_internal_turbine_thrust_coefficient,M_momentum_availability_factor,beta_farm_wind_speed_reduction_factor,zeta_wind_extractability_factor,Delta_Pf_pressure_gradient_across_the_farm
H1000-C0-G0,0.488214,0.956593,-0.065967,0.596652,0.554814,0.103033,1.026446,9.890821,0.730751,33.020863,4.282731
H1000-C2-G1,0.562712,0.832286,-0.055096,0.591688,0.554976,0.095165,1.028050,10.173959,0.733570,34.432907,9.492498
H1000-C2-G4,0.561377,0.879339,-0.053372,0.569846,0.557366,0.093354,1.025068,10.532515,0.747204,37.708274,10.508487
H1000-C2-G8,0.568344,0.879151,-0.051119,0.562178,0.556252,0.093472,1.020456,10.623105,0.752406,38.866430,10.611708
H1000-C5-G1,0.615531,0.827187,-0.046519,0.552439,0.555569,0.087211,1.019196,10.782913,0.758258,40.468377,13.667529
H1000-C5-G4,0.593373,0.867214,-0.050704,0.549912,0.553009,0.092319,1.023031,10.844418,0.759160,40.875299,12.450662
H1000-C5-G8,0.574663,0.896475,-0.050811,0.549630,0.554422,0.092677,1.021360,10.846015,0.759564,40.950692,11.945872
H1000-C8-G1,0.598148,0.886281,-0.048378,0.533979,0.555973,0.086863,1.017723,11.063313,0.768994,43.563045,13.129172
H1000-C8-G4,0.583642,0.904350,-0.050137,0.536326,0.554799,0.089921,1.018965,11.028560,0.767494,43.132545,12.876652
H1000-C8-G8,0.573745,0.909371,-0.047881,0.541383,0.551885,0.088762,1.016430,10.938837,0.764992,42.291500,12.179009
H500-C0-G0,0.480243,0.980082,-0.064339,0.600788,0.587478,0.102465,1.018010,10.215011,0.729474,34.063280,4.307086
H500-C2-G1,0.543445,0.821698,-0.061615,0.619266,0.584624,0.097004,1.031200,9.933535,0.715764,31.429947,8.139955
H500-C2-G4,0.598261,0.794483,-0.054323,0.592623,0.585233,0.088233,1.027171,10.386003,0.733129,35.170579,12.360591
H500-C2-G8,0.620550,0.794234,-0.049992,0.574732,0.584344,0.085651,1.021187,10.650450,0.744870,37.825580,13.997428
H500-C5-G1,0.784485,0.591673,-0.048031,0.601656,0.585112,0.079577,1.025563,10.188938,0.727778,33.755356,19.441731
H500-C5-G4,0.712733,0.697682,-0.048739,0.572570,0.587368,0.082725,1.023808,10.740924,0.745771,38.315522,18.038969
